Date,Boro,Year,Month,Day,DayOfWeek,IsWeekend,Season,Vol,Temperature,Rainfall,TempAnomaly,RainAnomaly
2022-01-01,Manhattan,2022,1,1,6,1,Winter,537,58.74991319433613,3.255161074924548,2.8278749316502925,0.7081707174292386
2022-01-02,Manhattan,2022,1,2,0,0,Winter,465,55.291155229443504,0.9569055046886206,0.32194332252212987,0.2786169925065831
2022-01-03,Manhattan,2022,1,3,1,0,Winter,604,66.07099509319463,0.3091767756268382,0.4351351562317926,0.4906206566197486
2022-01-04,Manhattan,2022,1,4,2,0,Winter,645,60.09283216500113,6.293467908761598,0.25055665447348907,-0.2930914295129407
2022-01-05,Manhattan,2022,1,5,3,0,Winter,611,63.78915849728774,0.6828155694529414,1.4513482495730738,0.46958528777695585
2022-01-06,Manhattan,2022,1,6,4,0,Winter,534,58.09968650001997,1.182605765759945,-1.2613800953239855,-0.032350526375522645
2022-01-07,Manhattan,2022,1,7,5,1,Winter,551,60.87474356673609,1.0379706490784883,-1.5990129331165799,-0.1272126034847675
2022-01-08,Manhattan,2022,1,8,6,1,Winter,391,65.1676165451238,0.5242693566554175,3.266053857974761,-0.4334763651826797
2022-01-09,Manhattan,2022,1,9,0,0,Winter,853,63.37861997716235,2.2944799176508432,-2.713664245728048,-1.1037784051332309
2022-01-10,Manhattan,2022,1,10,1,0,Winter,541,64.70640621456285,0.19355702383358547,2.5772608645397903,-0.4577172257102597
2022-01-11,Manhattan,2022,1,11,2,0,Winter,746,50.866849637430256,3.3059826454329975,-3.227716431235291,-0.12248193900657592
2022-01-12,Manhattan,2022,1,12,3,0,Winter,893,60.88602190648282,0.9585603019222617,3.6215276726415877,0.5381224258600795
2022-01-13,Manhattan,2022,1,13,4,0,Winter,342,59.04096069026365,1.193168436177075,-0.11524620019273,0.160050858895485
2022-01-14,Manhattan,2022,1,14,5,1,Winter,372,56.749006449950855,2.378497203727985,4.830126686464519,0.06438732561921463
2022-01-15,Manhattan,2022,1,15,6,1,Winter,387,57.196518293699995,2.5486774033957964,0.6804802312781467,0.05390379940222449
2022-01-16,Manhattan,2022,1,16,0,0,Winter,645,68.37882896649971,0.6738605540871433,-1.2166334237222942,0.13375915628753876
2022-01-17,Manhattan,2022,1,17,1,0,Winter,507,62.1526730021962,2.0423364377671724,1.7522703594561664,0.05893040093997444
2022-01-18,Manhattan,2022,1,18,2,0,Winter,152,59.276966898213765,2.5358168742710596,0.5283713503447754,-0.4613515538081818
2022-01-19,Manhattan,2022,1,19,3,0,Winter,184,64.6951285607205,1.7817201594913248,1.4148165338882883,0.6620744484231983
2022-01-20,Manhattan,2022,1,20,4,0,Winter,748,57.27251625238354,0.7186514521017671,0.503772082372303,-0.16687520732498368
2022-01-21,Manhattan,2022,1,21,5,1,Winter,369,60.69425181607823,1.0327674727886915,2.7721208446375742,0.7568507201455331
2022-01-22,Manhattan,2022,1,22,6,1,Winter,222,67.23431156676276,1.912026105494716,1.911228594713863,-0.6356752385400848
2022-01-23,Manhattan,2022,1,23,0,0,Winter,524,58.33685956924732,3.749981198291827,-0.7947432834369801,-0.2909155985295072
2022-01-24,Manhattan,2022,1,24,1,0,Winter,732,56.00421863868393,1.0644354820251465,0.4746545816500199,-0.5634709746438293
2022-01-25,Manhattan,2022,1,25,2,0,Winter,834,57.25853627433796,3.9014088770556934,3.282491978567255,-0.0024078409724657985
2022-01-26,Manhattan,2022,1,26,3,0,Winter,485,54.74601897740291,2.7491448800170666,0.39029408473135846,-0.031697590823039606
2022-01-27,Manhattan,2022,1,27,4,0,Winter,511,61.26331245516664,0.5736584374681115,2.4898507416071634,0.2889828363180173
2022-01-28,Manhattan,2022,1,28,5,1,Winter,224,61.639309269976486,2.0764328370893246,2.2131948786895417,0.2980071947987183
2022-01-29,Manhattan,2022,1,29,6,1,Winter,446,64.27836200245251,6.438785180113412,0.4814280256849589,0.046558048223801274
2022-01-30,Manhattan,2022,1,30,0,0,Winter,454,69.00881135813746,1.737100629051948,1.6557984087847648,0.7360385458898592
2022-01-31,Manhattan,2022,1,31,1,0,Winter,618,67.02620405874367,0.4615261983126402,-1.0945646157533115,0.3304167467647618
2022-02-01,Manhattan,2022,2,1,2,0,Winter,656,63.74604102932167,4.790481012062503,-0.09716540576300416,-0.5541544276796202
2022-02-02,Manhattan,2022,2,2,3,0,Winter,705,79.99554427236377,4.628366660074664,3.8711366596479886,0.08219175214731089
2022-02-03,Manhattan,2022,2,3,4,0,Winter,459,70.69639243796074,0.35618102517046807,0.5071951015204539,0.43420255818150155
