Month,Value,Anomaly
201301,2.76,-0.7
201302,4.25,0.48
201303,2.89,-0.93
201304,1.31,-2.63
201305,8,3.45
201306,10.11,5.5
201307,2.84,-2.59
201308,2.85,-0.91
201309,2.95,0.03
201310,0.36,-3.79
201311,3.16,-0.62
201312,4.85,-0.02
201401,2.8,-0.66
201402,5.48,1.71
201403,3.67,-0.15
201404,7.85,3.91
201405,4.37,-0.18
201406,4.26,-0.35
201407,5.59,0.16
201408,2.25,-1.51
201409,1.21,-1.71
201410,5.78,1.63
201411,4.51,0.73
201412,6.04,1.17
201501,5.22,1.76
201502,2.04,-1.73
201503,4.73,0.91
201504,2.08,-1.86
201505,1.86,-2.69
201506,4.79,0.18
201507,3.97,-1.46
201508,2.35,-1.41
201509,3.28,0.36
201510,3.91,-0.24
201511,2.02,-1.76
201512,4.72,-0.15
201601,4.41,0.95
201602,4.41,0.64
201603,1.17,-2.65
201604,1.62,-2.32
201605,3.76,-0.79
201606,2.6,-2.01
201607,7.02,1.59
201608,1.98,-1.78
201609,2.8,-0.12
201610,4.15,0
201611,5.41,1.63
201612,2.89,-1.98
201701,4.83,1.37
201702,2.48,-1.29
201703,5.25,1.43
201704,3.84,-0.1
201705,6.38,1.83
201706,4.77,0.16
201707,4.19,-1.24
201708,3.34,-0.42
201709,2,-0.92
201710,4.19,0.04
201711,1.58,-2.2
201712,2.21,-2.66
201801,2.18,-1.28
201802,5.83,2.06
201803,5.17,1.35
201804,5.78,1.84
201805,3.53,-1.02
201806,3.11,-1.5
201807,7.45,2.02
201808,8.6,4.84
201809,6.19,3.27
201810,3.59,-0.56
201811,7.63,3.85
201812,6.51,1.64
201901,3.58,0.12
201902,3.14,-0.63
201903,3.87,0.05
201904,4.56,0.62
201905,6.82,2.27
201906,5.45,0.84
201907,5.78,0.35
201908,3.7,-0.06
201909,0.95,-1.97
201910,6.16,2.01
201911,1.95,-1.83
201912,7.09,2.22
202001,1.93,-1.53
202002,2.55,-1.22
202003,3.78,-0.04
202004,4.5,0.56
202005,1.65,-2.9
202006,1.76,-2.85
202007,6.58,1.15
202008,5.04,1.28
202009,3.94,1.02
202010,5.05,0.9
202011,3.99,0.21
202012,4.61,-0.26
202101,2.31,-1.15
202102,5.13,1.36
202103,3.41,-0.41
202104,2.7,-1.24
202105,4.36,-0.19
202106,2.63,-1.98
202107,11.1,5.67
202108,10.32,6.56
202109,10.03,7.11
202110,5.26,1.11
202111,1.13,-2.65
202112,1.39,-3.48
202201,4.29,0.83
202202,3.23,-0.54
202203,2.39,-1.43
202204,4.53,0.59
202205,4.52,-0.03
202206,2.92,-1.69
202207,4.55,-0.88
202208,1.71,-2.05
202209,4.1,1.18
202210,5.08,0.93
202211,3.15,-0.63
202212,5.83,0.96
202301,4.39,0.93
202302,1.28,-2.49
202303,3.32,-0.5
202304,7.7,3.76
202305,1.28,-3.27
202306,1.62,-2.99
202307,5.33,-0.1
202308,6.57,2.81
202309,14.25,11.33
202310,3.9,-0.25
202311,2.95,-0.83
202312,6.71,1.84
202401,5.28,1.82
202402,2.05,-1.72
202403,9.07,5.25
202404,3.48,-0.46
202405,4.11,-0.44
202406,1.71,-2.9
202407,4.2,-1.23
202408,7.02,3.26
202409,1.58,-1.34
202410,0.01,-4.14
202411,3.35,-0.43
202412,4.53,-0.34
202501,0.61,-2.85
202502,2.59,-1.18
202503,5.52,-1.18
